,0,p_value
1448373182,0.125565716,0.282487824
1448373197,0.086950087,0.444821409
1448373212,0.065164527,0.465070817
1448373227,0.057802026,0.344449797
1448373242,0.060695419,0.465358463
1448373257,0.090742338,0.483268479
1448373272,0.202301793,0.117905816
1448373287,0.311710587,0.013239153
1448373302,0.227532803,0.00357012
1448373317,0.143496226,0.010300461
1448373332,0.2741998,0.050511715
1448373347,0.330437014,0.087378891
1448373362,0.208648288,0.074244321
1448373377,0.120921914,0.371801386
1448373392,0.099337407,0.288107029
1448373407,0.16638949,0.041244667
1448373422,0.271017252,0.006218292
1448373437,0.227412668,0.00611333
1448373452,0.145958186,0.028572383
1448373467,0.170248669,0.012279709
1448373482,0.269894619,0.070907089
1448373497,0.315649942,0.035891129
1448373512,0.368930052,0.005202243
1448373527,0.533350509,0.000639798
1448373542,0.687172551,0.001955097
1448373557,0.828462003,0.006210991
1448373572,0.701997684,0.050893111
1448373587,0.325742977,0.075099142
1448373602,0.104620451,0.111632326
1448373617,0.098552452,0.260025429
1448373632,0.126259121,0.076750746
1448373647,0.109565544,0.13721137
1448373662,0.09743926,0.269517368
1448373677,0.07046013,0.436374158
1448373692,0,0.059478752
